年月,報酬指數,台泥,統一,台塑,南亞,台化,中鋼,和泰車,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,友達,中華電,聯發科,長榮,陽明, 萬海,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金, 兆豐金,台新金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,遠傳,台塑化,南電,豐泰
13-Nov,12420.62,21.82,34.13,51.97,40.97,55.27,17.76,261.51,8.39,118.57,51.26,20.81,80.65,136.39,50.29,38.93,109.21,25.92,6.33,63.02,296.54,29.66,21.69,8.21,10.71,8.65,25.21,29.12,5.35,7.96,9.68,14.96,7.33,10.73,9.06,152.45,867.16,65.36,18.02,62.6,40.67,58.92,29.94,37.46
13-Dec,12723.25,21.54,34.71,53.77,43.56,55.67,18.84,279.75,8.43,127.58,52.64,21.93,81.04,140.31,56.11,41.05,123.24,25.6,6.53,63.22,301.64,30.85,23.27,8.24,10.83,8.75,25.99,30.22,5.58,7.94,10.73,15.11,7.36,11.28,9.36,149.91,998.67,66.73,18.56,62.21,42.02,59.72,30.76,35.34
14-Jan,12503.19,20.63,32.32,52.1,41.79,52.62,18.18,279.37,8.43,124.95,55.79,25.5,80.65,147.64,58.22,44.3,112.79,31.93,6.18,62.41,272.4,30.17,21.94,7.84,10.59,8.59,25.51,28.59,5.48,7.56,10.16,14.72,7.21,11.09,9.13,147.73,957.57,66.46,19.05,57.36,38.3,55.63,29.77,33.86
14-Feb,12764.71,22.49,32.71,51.44,41.03,51.1,17.94,282.79,8.39,126.45,55.2,29.48,82.96,152.62,63.13,44.01,114.29,30.39,7.07,62.47,302.66,30.51,21.69,7.52,10.5,8.75,25.24,27.99,5.45,7.64,9.59,14.57,7.23,10.84,9.11,136.48,1105.53,76.03,17.57,58.85,39.39,56.8,30.35,37.66
14-Mar,13074.55,21.89,34.26,50.9,40.78,48.78,17.9,279.75,8.77,141.08,56.71,28.46,91.02,157.85,64.39,48.44,117.87,25.86,7.37,63.63,305.72,30.17,21.35,7.82,10.65,8.67,24.62,27.81,5.4,7.36,9.25,14.21,7,10.56,9.13,156.08,1183.61,76.3,20.12,61.63,41.38,56.58,30.06,44.09
14-Apr,12989.08,22.31,33.03,51.97,41.79,48.38,17.69,269.11,8.9,138.83,56.91,29.27,91.02,163.35,60.39,48.91,116.37,31.61,7.82,63.97,321.03,29.07,20.6,8,10.35,8.54,23.24,26.68,5.36,7.49,9.07,13.91,6.95,9.95,8.93,162.97,1549.38,76.3,21.06,62.92,41.89,55.42,35.09,41.27
14-May,13410.77,20.77,33.94,51.24,42.61,47.65,17.17,266.07,9.58,146.34,60.72,36.01,91.79,173.3,64.88,47.67,132.49,52.93,7.85,65.19,331.23,29.15,21.19,7.76,10.74,9.22,25.72,28.75,5.65,8.13,9.44,15.08,7.56,10.59,9.39,180.03,1611.03,83.96,22.62,63.89,43.69,53.52,39.59,42.21
14-Jun,13919.39,21.05,34.65,53.31,45.45,50.1,17.52,289.63,10.2,163.22,65.72,43.58,97.17,174.34,66.35,51.39,152.18,49.17,8.68,65.33,343.47,27.63,20.02,8.13,10.92,9.4,26.64,30.18,6.09,7.86,10.13,14.96,7.76,11.03,9.69,173.5,1956.25,80.4,23.73,63.26,43.62,56.8,44.12,41.86
14-Jul,14045.85,21.98,37.1,52.89,45.52,50.26,18.11,306.14,9.88,158.9,68.02,41.63,95.03,167.54,67.26,49.85,143.6,51.08,9.47,65.23,328.19,29.41,20.85,8.4,11.62,9.73,29.33,34.24,6.45,8.23,10.54,15.92,8.17,11.92,10.32,173.86,1915.15,84.23,21.27,62.99,42.3,57.86,38.76,42.75
14-Aug,14355.86,23.28,38.54,53.03,45.78,51.01,18.87,329.24,9.6,161.98,76.3,51.27,97.39,174.93,80.09,52.21,171.04,51.72,10.3,66.22,349.53,30.93,22.44,10.45,11.56,9.97,30.13,34.65,6.52,8.91,10.35,16.22,8.72,12.29,10.24,168.73,2058.37,87.27,21.19,65.25,43.25,56.95,45.77,45.75
14-Sep,13652.82,22.2,37.2,49.33,43.25,48.2,19.02,324.15,8.86,148.1,71.81,45.22,94.24,162.07,79.36,47.75,144.14,38.6,8.91,65.37,315.24,30.26,22.1,12.08,11.6,9.54,28.83,33.66,6.03,8.36,9.65,15.68,8.17,11.99,10.16,162.4,1813.03,85.57,19.05,63.2,39.58,55.67,40.37,45.27
14-Oct,13666.06,22.77,36.78,48.03,40.84,48.55,19.17,348.42,9.43,140.39,71.81,42.75,102.49,173.25,73.85,47.26,141.46,41.48,9.99,66.08,303,30.43,23.19,12.44,11.91,9.68,31.73,33.97,6.3,8.73,9.84,15.84,8.31,12.48,10.35,169.85,1775.61,89.26,19.59,67.58,45.69,53.79,34.76,41.95
14-Nov,13989.51,22.28,35.23,48.58,42.08,48,19.09,380.13,9.67,144.24,72.56,46.74,111.13,188.34,75.68,47.63,142.13,46.78,10.13,66.3,325.39,31.1,22.52,15.12,11.41,9.6,31.3,33.9,6.4,8.89,9.77,15.84,8.23,12.34,10.41,179.54,1983.52,99.5,19.13,67.37,45.49,52.8,33.36,47.78
14-Dec,14172.4,21.27,35.37,49.47,42.53,45.87,19.24,372.3,10.38,145.4,65.76,46.29,110.74,193.65,77.89,48.99,157.21,51.76,11.24,67.01,323.29,37.97,28.11,15.37,11.29,9.54,31.3,31.9,6.52,8.91,9.9,15.37,7.48,12.04,10.33,182.14,1991.84,101.2,20.26,71.55,49.56,51.82,34.35,51.41
15-Jan,14255.62,20.88,35.58,52.34,41.23,46.49,19.53,355.47,10.83,149.26,64.86,51.64,110.74,185.83,71.35,47.63,159.56,48.76,12,68.08,337.99,37.97,28.19,18.42,11.1,9.44,31.06,30.91,6.72,8.8,9.77,15.21,7.43,11.78,10.21,181.03,2195.6,99.78,18.38,71.21,52.42,50.69,36.78,63.33
15-Feb,14651.82,21.05,37.2,53.03,44.29,48.27,19.09,374.26,11.26,156.58,65.16,54.1,118.2,182.47,72.3,49.11,160.9,50.1,11.48,70,330.99,39.07,28.36,19.39,11.47,9.68,34.57,32.47,7.04,8.89,10.22,15.68,7.71,12.25,10.27,181.77,2228.86,96.09,17.75,73.6,52.69,51.9,36.53,70.01
15-Mar,14597.52,21.61,36.92,51.93,45.13,49.23,19.02,378.57,10.9,152.34,68.52,58.54,114.27,176.05,73.48,46.76,159.89,50.49,10.93,70.93,296.35,39.41,30.03,21.39,11.25,9.62,34.7,33.97,7.01,8.68,10.13,16.31,7.63,12.19,10.3,175.44,2241.34,92.11,17.03,74.97,51.26,51.67,42.31,100.74
15-Apr,14953.23,21.37,35.44,53.98,49.03,53.62,18.84,415.76,10.27,142.7,68.82,57.36,115.45,181.92,70.54,47.63,169.95,43.84,10.72,70.57,276.41,35.34,26.77,18.84,11.66,10.14,40.81,36.48,8.27,9.52,11.48,17.16,8.06,14.01,10.68,169.11,2561.53,91.54,15.35,73.94,49.63,59.59,45.11,101.27
15-May,14772.83,20.44,38.54,51.52,47.14,51.49,18.58,387.18,9.78,135.37,74.13,52.82,114.66,168.78,68.85,48.18,165.93,42.82,11.69,69.15,290.05,29.92,20.77,16.23,11.16,9.92,39.02,37.3,7.94,9.48,11.57,17.28,7.63,13.66,10.46,165.38,2844.29,95.23,14.05,73.94,49.5,56.65,42.97,87.91
15-Jun,14307.35,19.09,38.54,49.67,47.01,50.88,18.03,342.16,9.18,127.27,72.56,47.53,113.85,167.94,58.12,45.15,146.26,33.04,9.47,70.14,295.3,27.12,18.02,13.57,11.01,9.54,39.81,36.62,7.56,9.34,10.74,17.47,7.37,14.24,10.46,161.66,2931.62,84.72,13.3,74.4,50.65,59.74,33.52,95.66
15-Jul,13538.36,17.9,39.18,49.08,43.35,52.13,17.25,325.29,8.28,125.26,67.85,44.19,113.04,159.28,45.63,40.21,146.95,22.99,7.27,73.5,246.25,26.1,18.1,15.87,10.97,9.65,37.35,35.98,7.07,9.67,10.04,16.97,7.23,13.42,10.62,170.97,2665.49,70.07,12.93,75.48,52.87,56.8,27.67,94.32
15-Aug,12894.35,18.24,43.57,50.27,39.86,48.51,14.89,287.54,7.91,131.3,69.2,45.22,104.53,176.5,42.91,39.42,142.81,26.95,7.56,74.1,186.17,24.55,17.43,13.44,10.63,9.12,36.25,33.09,6.38,9.85,8.96,16.26,6.59,12.86,9.84,167.13,2555.67,66.7,10.93,70.64,51.08,55.58,26.9,108.2
15-Sep,12948.92,17.46,42.82,48.66,37.37,46.56,14.66,281.11,7.95,124.05,70.19,49.49,105.34,168.45,45.63,37.64,155.23,24.5,6.99,74.1,180.61,23.86,15.86,12.42,10.9,9.06,33.26,31.71,6.02,9.74,8.38,15.19,6.73,11.12,9.37,157.52,2166.39,63.03,10.84,72.59,50.79,59.7,27.59,114.64
15-Oct,13540.6,18.95,41.32,52.93,43.49,51.92,15,306.41,8.76,133.71,71.01,50.37,110.61,173.52,55.68,36.59,161.09,26.88,6.89,74.77,188.77,24.98,16.5,12.93,11.37,9.27,34.17,32.74,5.95,9.85,8.79,15.79,7.37,11.71,9.84,165.97,2145.24,67.93,12.41,74.04,50.36,60.31,28.23,104.55
15-Nov,13170.98,15.42,40.42,51.67,39.39,49.21,13.86,283.52,8.72,126.53,68.87,49.29,112.64,161,55.11,33.62,147.98,28.7,6.29,74.85,193.22,22.31,13.51,10.08,10.77,9.03,33.72,32.21,5.72,9.9,8.48,15.16,6.7,11.22,9.5,160.6,2128.31,72.52,12.88,71.22,49.15,58.86,27.8,100.63
15-Dec,13198.59,14.29,41.25,53.99,41,51.58,13.7,305.21,8.9,125.72,66.25,52.24,115.88,162.19,64.35,34.94,145.91,31.65,7,74.32,185.43,22.83,14.5,10.95,10.57,9.03,29.18,32.67,5.59,9.64,8.35,14.31,6.59,11.09,9.56,157.91,1920.98,78.94,12.1,72.23,48.36,60.08,28.75,94.18
16-Jan,12893.32,14.29,41.47,53.63,39.18,49.69,13.51,276.69,9.38,114.4,64.12,51.65,115.07,161.89,67.21,35.14,140.05,28.29,6.31,76.87,161.32,21.02,13.78,10.8,11.21,8.88,24.77,26.53,5.51,8.91,7.42,14.52,6.3,10.56,9.53,169.05,2115.62,84.14,12.1,72.16,49.15,62.45,28.15,98.95
16-Feb,13314.3,15.7,43.05,55.39,42.88,52.13,15.73,276.69,9.82,108.74,63.95,54.01,120.74,163.08,68.6,37.05,158.68,28.54,6.49,78.37,175.04,20.67,14.68,11.04,10.97,9.18,25.58,26.32,5.43,8.66,7.35,14.75,6.36,10.63,9.69,173.27,2145.24,84.45,14.66,74.04,49.72,64.35,29.6,101.19
16-Mar,13842.48,16.49,42.45,55.95,45.43,55.9,17.1,284.32,9.79,114.81,69.53,52.14,131.28,172.33,72.36,37.05,163.16,27.67,6.96,82.12,183.2,20.59,14.3,11.13,11.11,9.48,26.59,27.2,5.85,9.06,7.9,15.43,6.56,11.15,9.94,180.19,2111.39,79.25,13.53,75.48,51.58,70.53,29.09,95.86
16-Apr,13261.65,17.22,43.73,56.3,42.48,57.43,17.29,256.21,8.83,121.27,63.22,51.65,121.55,169.05,73.92,34.28,157.3,26.11,6.77,81.75,170.59,20.5,14.23,10.65,11.34,9.27,25.45,25.58,5.59,9.01,7.32,15.43,7.05,10.76,9.87,175.58,1920.98,69.15,13.4,76.93,52.08,69.92,26.05,77.92
16-May,13512.13,15.73,46.66,55.39,41.81,57.29,15.46,250.19,8.98,121.27,65.68,53.91,126.82,166.96,72.28,38.24,166.26,27.5,6.52,82.5,163.18,19.81,13,10.2,11.14,9.62,24.96,26.6,5.59,9.19,7.56,16.1,7.11,11.22,10.31,190.18,2301.79,66.4,12.06,80.54,53.72,67.86,25.79,76.52
16-Jun,13869.89,16.78,47.71,54.55,41,56.45,15.96,253,9.27,126.13,67.64,54.44,136.84,158.31,81.68,40.21,173.03,27.29,7.88,87.37,180.98,20.59,13.1,10.68,11.27,9.89,25.76,26.13,5.63,9.57,7.14,16.37,7.17,11.05,10.56,192.87,2492.2,73.13,12.23,85.42,55.73,66.72,24.93,74.56
16-Jul,14622.84,18.45,48.98,57.1,42.78,60.5,17.21,266.73,9.16,140.27,72.07,55.46,145.27,165.47,94.44,42.78,175.51,28.08,9.63,89.1,189.06,21.28,12.19,10.61,11.54,10.3,27.13,26.76,5.62,10.08,7.96,16.84,7.4,12.08,11.06,199.02,2894.16,73.79,12.07,83.52,54.96,72.45,24.98,93.21
16-Aug,14899.62,19.73,46.49,57.46,42.92,59.99,17.17,292.57,8.85,137.76,72.15,57,148.21,169.08,103.84,41.1,183.65,27.93,9.29,89.49,193.72,20.67,12.18,9.84,11.62,10.66,30.72,29.94,5.81,10.11,8,15.44,7.72,12.59,11.26,199.56,3064.18,71.48,11.53,84.66,55.41,74.05,22.98,97.74
16-Sep,15110.44,19.4,45.56,57.1,43.91,61.37,17.25,305.49,8.89,139.43,74.68,55.14,153.69,176.01,86.96,45.8,190.37,29.24,8.55,86.74,185.95,20.84,11.84,10.23,11.69,10.47,31.68,29.94,5.79,10.11,7.96,15.76,7.5,12.49,11.5,196.79,3253.54,72.8,11.75,85.42,55.48,75.17,22.72,89.97
16-Oct,15314.95,20.6,47.34,62.67,46.53,68.36,17.8,306.32,9.04,139.01,80.63,53.87,158.74,174.12,90.33,44.82,181.88,30.5,8.92,84.78,186.34,20.33,11.69,10,11.76,10.47,30.65,30.57,5.73,10.16,8.39,15.44,7.43,12.6,11.43,186.52,3214.8,78.07,11.58,83.9,55.93,84.18,21.17,85.44
16-Nov,15235.13,20.05,42.22,66.64,47.52,72.73,19.51,305.49,8.66,133.59,77.51,50.39,154.11,166.25,83.58,41.59,181.52,33.15,8.51,84.39,171.98,20.76,9.59,10.64,12.42,10.56,33.84,35.01,5.75,10.47,8.21,16.26,7.53,12.97,11.6,189.28,3176.07,69.84,10.6,81.62,55.33,85.78,21.48,77.35
16-Dec,15256.22,19.13,41.37,65.46,50.43,70.11,19.24,307.57,8.77,133.17,79.59,49.63,152.85,166.88,86.11,42.22,180.11,35.98,8.77,79.68,168.1,19.12,8.04,10.48,12.49,10.6,34.9,35.98,5.84,10.39,8.53,16.44,7.59,13.08,11.88,182.57,3262.14,70.17,11,78.96,54.36,89.37,21.88,77.99
17-Jan,15576.81,19.27,41.45,66.2,52.06,70.47,19.75,298.4,8.74,145.28,79.12,64.37,156.21,171.91,92.02,44.54,187.54,35.76,9.59,80.07,165.77,22.22,9.33,11.19,12.64,10.73,34.62,35.46,5.78,10.45,8.82,16.66,7.59,13.19,12.05,184.54,3830.22,72.8,10.91,79.34,55.78,84.98,22.05,88.03
17-Feb,16075.57,20.49,42.3,67.96,52.83,70.76,20.14,292.99,9.81,142.77,84.6,64.03,159.16,174.75,96.67,44.61,185.06,33.89,9.07,80.07,173.92,25.07,11.58,12.12,13.36,11.02,34.04,36.02,5.86,10.56,9.24,17.09,7.82,13.6,12.53,178.22,3924.9,75.77,12.73,82,55.48,85.38,22.36,84.14
17-Mar,16176.23,19.76,44.08,66.42,50.92,68.72,19.75,296.32,9.39,135.67,86.02,70.04,159.16,188.92,91.6,43.2,179.75,36.05,8.81,80.86,166.93,24.46,11.66,11.32,13.47,11.05,33.87,36.36,6.03,10.45,9.1,17.51,8.14,13.9,12.78,197.58,4114.26,77.41,14.82,84.66,55.86,84.58,22.98,78.32
17-Apr,16275.94,19.1,43.15,66.56,51.49,67.56,18.89,289.65,9.27,141.94,93.39,90.2,163.79,186.71,86.11,43.77,172.68,35.87,9.37,80.07,168.49,22.91,10.26,10.74,12.75,11.02,32.36,36.13,6.02,10.5,9.17,17.34,8.01,13.97,12.71,207.46,4316.53,76.42,16.5,84.66,55.71,84.18,23.47,75.08
17-May,16554.82,18.72,46.56,65.83,50.71,66.47,19.32,328.83,9.58,138.6,97.36,86.39,170.95,179.47,84.85,48.18,172.68,37.92,8.74,84.39,178.58,26.01,10.1,10.93,12.78,11.25,31.37,35.16,5.95,10.7,9.28,17.34,8.66,14.2,13.29,212.6,4088.44,78.73,15.44,85.04,57.36,86.18,22.59,75.73
17-Jun,17298.15,19.16,47.26,68.03,53.47,69.52,19.32,317.58,11.35,139.01,110.6,92.26,181.44,181.04,92.45,50.42,172.22,41.99,10.34,84.78,202.26,26.62,9.78,11.03,12.71,11.51,33.15,37.4,6.39,10.75,9.53,18.09,8.91,14.79,14.05,216.15,4174.51,81.04,15.66,86.94,58.11,88.29,22.76,87.06
17-Jul,17697.54,19.85,44.78,69.95,57.13,70.35,20.03,315.85,11.09,138.15,115.45,100.09,186.66,176.95,95.4,52.52,182.61,47.82,9.45,83.86,214.21,28.51,10.49,11.13,12.89,11.51,33.47,38.26,6.99,11.07,9.52,18.26,9.14,15.11,14.09,202.32,4742.59,80.34,17.43,86.28,57.51,89.13,21.68,87.04
17-Aug,18119.11,19.76,51.58,72.5,57.28,73.36,20.43,305.96,12,142.46,115.45,121.01,188.4,167.59,98.78,50.39,177.81,49.58,9.61,86.33,217.83,39.62,13.06,13.77,12.92,12.01,34.61,38.3,7.23,11.78,9.63,18.35,9.35,15.23,14.66,205.91,5075.94,82.08,15.55,86.28,57.67,89.55,22.55,96.12
17-Sep,17789.34,19.17,50.54,70.88,56.38,71.2,19.75,302.08,11.96,134.71,105.14,132.24,188.4,166.25,93.98,51.27,170.22,66.13,9.41,85.92,234.74,31.44,10.12,12.27,12.84,11.76,33.69,37.48,6.99,11.5,9.63,17.97,9.11,14.88,14.62,207.54,4679.79,79.99,14.87,86.68,57.2,89.13,22.27,92.75
17-Oct,18492.76,19,50.62,70.95,55.93,70.81,19.83,301.22,12.36,124.81,110.05,149.4,211.46,174.96,100.16,52.08,164.63,62.68,9.57,84.68,275.81,31.09,9.84,11.97,12.8,11.76,34.29,38.72,7.09,11.63,9.85,17.93,9.21,15.03,14.55,220.99,4975.82,77.89,15.5,85.88,55.78,88.71,25.02,91.41
17-Nov,18093.23,19.02,51.18,69.95,56.83,70.35,19.79,298.64,12.2,117.5,98.26,209.59,196.66,185.02,98.39,45.11,159.83,59.62,9.88,85.09,262.53,29.5,9.56,12.43,12.72,11.72,35.01,40.2,7.22,11.75,10.22,17.9,9.42,15.58,14.4,231.59,4475.19,79.99,14.06,85.88,56.33,89.13,23.24,84.35
17-Dec,18234.75,20.67,53.03,76.2,58.56,79.62,19.99,304.67,11.32,123.52,93.54,220.2,199.71,187.36,96.19,45.4,168.22,58.39,9.61,87.15,236.76,28.62,9.16,12.63,12.96,11.94,36.19,41.6,7.79,11.97,10.14,18.2,9.66,15.97,14.62,231.59,3500.05,79.29,14.69,85.88,57.91,97.12,23.92,91.07
18-Jan,19024.46,21.35,56.24,79.91,60.21,84.26,20.11,326.61,11.36,126.53,90.59,241.41,221.9,188.37,102.81,46.57,182.21,60.84,10.77,89.21,240.78,30.2,9.24,12.2,13.39,12.4,38.68,42.46,8.21,12.16,10.29,19.14,10.26,16.59,15.07,235.26,3486.99,85.58,19.1,89.07,59.88,104.27,24.02,92.75
18-Feb,18530.49,20.98,55.44,79.91,60.59,83.88,19.46,280.14,11.28,119.65,86.57,206.16,214.07,185.69,102.36,43.71,173.82,61.92,10.15,90.03,242.39,27.05,8.28,12,13.15,12.26,37.26,42.38,8.06,12.26,9.67,18.88,9.91,16.63,14.96,240.15,3217.09,88.37,18.2,85.88,58.3,98.38,25.39,93.43
18-Mar,18708.7,20.73,55.44,80.3,61.34,83.88,18.94,253.89,12.36,112.33,86.96,325.62,215.37,185.02,114.72,43.35,167.82,70.5,10.54,92.91,274.2,26.52,8.4,11.77,13.27,12.54,35.83,40.82,7.91,12.39,9.81,19.07,9.94,16.51,15.18,239.75,2916.71,92.56,16.99,87.88,61.61,99.64,31.12,87.71
18-Apr,18260.48,23.16,57.53,80.68,61.34,84.65,18.98,250.88,12.76,92.96,81.46,391.12,197.53,186.36,99.72,39.68,163.43,71.27,9.61,92.91,273.8,26.44,8.2,11.25,13.39,12.79,36.4,41.6,8.64,13.31,10.44,19.86,10.08,16.55,15.26,238.52,3029.9,87.32,15.14,87.48,61.77,102.17,24.61,90.74
18-May,18632.87,24.72,58.73,83,62.92,88.9,19.06,235.38,13.28,95.55,84.21,593.22,194.92,182,101.04,38.87,162.23,76.32,10.19,89.62,250.85,26,7.56,10.92,13.74,12.76,37.18,41.68,8.64,13.24,10.36,19.86,10.29,16.82,15.22,250.35,3569.7,94.66,15.14,87.88,60.19,102.17,23.14,89.39
18-Jun,18744.53,24.01,62.19,86.86,65.55,93.92,19.14,231.08,13.52,94.25,81.75,701.76,195.26,186.69,97.95,39.24,160.63,66.43,9.99,90.44,241.59,22.76,7.17,11.09,13.86,12.65,38.12,43.8,8.56,13.46,10.22,20.35,10.05,17.1,15.41,281.74,3909.26,96.06,14.69,88.27,62.08,103.01,25.53,102.84
18-Jul,19552.69,25.39,64.92,91.52,67.77,98.59,20.93,239.46,14.59,96.06,84.32,591.18,221.87,186.91,108.54,41.33,167.56,62.76,11.52,91.07,211.98,24.25,7.31,11.21,14.17,13.08,37.82,42.91,9.07,14.76,10.81,20.62,10.47,17.02,15.74,274.4,4483.9,108.98,15.1,88.74,60.04,106.8,25.29,122.04
18-Aug,19716.61,27.33,67.03,91.52,68.17,100.63,21.06,239.46,14.43,110.94,81,528.35,230.89,185.49,131.49,41.25,172.94,55.65,11.6,93.22,209.9,24.36,7.04,11.35,14.95,13.78,37.97,42.83,8.99,15.63,11.92,20.65,10.92,17.71,16.21,295.11,4164.22,110.82,16.35,90,60.53,111.67,26.79,128.97
18-Sep,19634.67,26.52,68.84,95.18,67.69,104.72,21.35,235.4,13.43,118.16,79.69,347.44,236.75,187.26,124.6,41.56,188.24,46.39,11.25,94.51,205.72,23.89,6.95,11.28,15.77,14.17,38.64,42.75,9.23,15.59,12.35,22.02,11.15,18.86,16.41,315.81,3217.21,111.19,18.63,92.1,60.2,131.17,28.05,130.36
18-Oct,17486.87,22.39,64.7,82.16,61.38,91.63,20.43,192.19,9.81,117.25,65.35,238.82,211.05,162.43,113.6,38.16,176.25,41.04,10.64,94.08,189.87,21.37,6.8,10.2,14.64,13.36,36.14,39.9,8.04,14.18,11.5,20.93,10.39,16.93,15.42,307.44,2964.96,100.51,13.98,92.94,60.95,108.12,23.01,128.97
18-Nov,17641.12,22.26,62.36,81.35,59.31,87.13,20.09,213.35,9.6,117.25,59.63,280.07,203.38,154.63,129.64,39.02,193.21,48.71,10.95,91.93,198.21,21.84,7.2,10.74,14.6,13.44,36.4,39.53,8.1,14.38,12.04,20.49,10.24,16.77,15.74,280.13,2982.66,95.72,19.65,91.68,59.95,98.82,28.42,135.91
18-Dec,17354.55,22.97,60.29,82.16,60.27,85.9,20.3,230,9.35,116.8,58.72,241.47,203.38,142.93,131.01,41.17,174.18,43.91,10.73,97.08,191.54,22.31,7.01,10.78,14.35,13.4,35.1,38.27,7.87,13.9,11.85,20.77,9.86,16.57,15.78,273.96,2845.48,104.56,20.72,89.58,63.18,96.6,31.55,121.69
19-Jan,17720.03,24.1,62.1,82.97,60.91,87.13,21.31,263.76,9.44,136.2,58.06,243.36,199.32,167.4,149.79,43.67,189.07,47.99,10.38,91.93,202.8,22.4,7.12,10.64,14.93,14.13,33.23,35.5,8.08,14.76,13.04,21.3,10.28,16.98,16.09,284.09,3345.54,116.34,20.9,92.1,59.21,95.27,33.55,133.48
19-Feb,18535.19,24.78,64.78,83.38,61.38,86.31,21.35,301.12,9.52,138.45,60.3,261.91,215.56,155.7,163.08,44.69,194.45,49.66,9.9,91.93,233.68,23.34,7.35,10.78,15.43,14.47,33.94,36.88,8.08,15.28,13.38,21.82,10.55,17.1,16.41,280.57,3858.88,125.91,22.39,92.52,59.62,103.25,35.23,134.17
19-Mar,18984.56,26.62,64.61,89.08,62.98,91.63,21.18,339.83,9.69,143.41,60.96,244.5,221.42,158.18,166.74,45.15,211.83,49.02,9.9,94.08,235.77,22.4,6.89,10.84,15.39,14.86,34.31,36.6,8.34,16.42,13.46,22.46,10.62,16.77,16.65,267.36,4071.29,145.8,27.5,93.78,61.44,102.36,43.49,151.16
19-Apr,19567.4,27.1,63.4,91.11,62.34,90.81,20.89,420.4,11.18,146.57,72.07,230.49,233.59,167.4,191.48,46.25,206.86,52.22,9.64,95.37,246.62,25.4,6.99,11.01,15.43,15.47,34.02,36.4,8.06,17.53,13.73,23.74,10.58,17.34,17.39,253.7,4115.55,148.37,32,95.05,62.68,101.48,43.4,173.7
19-May,18730.94,27.68,70.22,89.89,62.66,87.95,20.35,455.51,10.73,128.53,61.29,197.57,212.4,153.92,183.23,46.01,219.27,49.18,8.11,96.66,259.56,22.68,6.48,12.73,16.64,16.04,32.26,33.22,7.53,18.95,13.61,24.82,10.66,17.18,17.83,265.15,3336.69,123.34,27.82,99.25,64.92,102.81,30.52,165.72
19-Jun,19337.63,29.72,71.43,93.14,62.74,89.3,20.89,457.31,11.6,142.06,64.19,199.84,222.73,158.18,209.34,47.19,218.45,51.5,8.11,97.08,262.06,23.34,6.5,12.23,17.48,15.97,34.2,35.01,7.67,17.98,14.3,24.74,10.81,17.51,17.99,264.71,3411.92,127.39,32.75,103.04,64.75,102.07,36.73,167.8
19-Jul,19938.27,28.85,69.79,86.1,60.8,82.37,20.93,415.68,11.95,141.04,68.56,201.35,241.83,168.35,191.93,47.67,223.37,66.33,7.62,96.66,270.05,27,6.95,14.47,18.19,16.81,33.69,34.42,7.76,19.76,14.09,25.7,11.04,17.46,18.46,272.09,3761.52,128.41,36.01,96.49,62.2,97.91,40.36,163.66
19-Aug,19714.34,28.71,68.28,80.61,58.67,76.38,20.19,408.3,11.64,136.39,64.72,207.97,241.36,154.7,196.97,46.84,226.77,63.1,7.54,97.55,315.56,24.09,6.34,13.25,17.73,16.53,34.04,33.87,7.6,19.19,14.53,24.35,10.72,17.5,17.92,264.83,3504.39,143.88,37.01,98.69,63.68,89.78,38.28,160.52
19-Sep,20154.27,29.61,66.67,80.96,59.43,75.17,20.06,435.06,11.6,123.35,63.85,225.84,255.39,156.6,217.64,46.93,231.87,72.15,7.25,99.34,316.84,24.37,6.21,12.73,19,17.36,34.74,34.51,7.73,19.95,14.89,24.35,11.08,17.71,18.17,263.02,4008.88,137.69,41.36,98.69,63.07,90.71,48.06,174.65
19-Oct,21142.99,30.21,67.03,83.78,61.39,76.82,20.45,496.42,12.12,124.75,70.31,287.68,280.27,156.6,214.33,48.5,256.07,62.74,7.19,100.24,350.33,23.43,6.04,12.66,20.85,18.15,34.74,34.19,7.95,20.94,15.34,25.32,11.32,18.23,18.63,275.71,4026.89,151.61,44.68,100.02,63.5,89.5,52.62,161.7
19-Nov,21388.44,30.92,64.62,83.27,60.97,75.69,20.41,550.86,12.94,130.33,77.2,302.34,286.38,174.8,218.11,49.99,254.37,63.82,8.1,101.13,361.92,23.47,5.81,12.66,20.15,17.98,34.93,35.38,8.12,20.56,15.9,25.66,11.4,18.79,19.13,277.07,3995.36,172.89,43.73,100.9,63.59,88.67,48.63,149.93
