Date,name,book_to_market,book_to_market1,book_to_market2
2011,南電,0.877192982,1.14,1.14
2011,豐泰,0.609756098,1.64,1.64
2012,台泥,0.67114094,1.49,1.49
2012,統一,0.302114804,3.31,3.31
2012,台塑,0.465116279,2.15,2.15
2012,南亞,0.561797753,1.78,1.78
2012,台化,0.526315789,1.9,1.9
2012,亞德客-KY,0.210084034,4.76,4.76
2012,中鋼,0.662251656,1.51,1.51
2012,和泰車,0.22675737,4.41,4.41
2012,聯電,1.351351351,0.74,0.74
2012,台達電,0.3125,3.2,3.2
2012,鴻海,0.574712644,1.74,1.74
2012,國巨,1.666666667,0.6,0.6
2012,台積電,0.268096515,3.73,3.73
2012,華碩,0.483091787,2.07,2.07
2012,瑞昱,0.578034682,1.73,1.73
2012,廣達,0.448430493,2.23,2.23
2012,研華,0.241545894,4.14,4.14
2012,南亞科,0.046296296,21.6,21.6
2012,友達,1.408450704,0.71,0.71
2012,中華電,0.487804878,2.05,2.05
2012,聯發科,0.395256917,2.53,2.53
2012,長榮,0.99009901,1.01,1.01
2012,陽明,0.78125,1.28,1.28
2012,萬海,0.81300813,1.23,1.23
2012,彰銀,0.892857143,1.12,1.12
2012,華南金,0.909090909,1.1,1.1
2012,富邦金,0.884955752,1.13,1.13
2012,國泰金,0.709219858,1.41,1.41
2012,開發金,1.369863014,0.73,0.73
2012,玉山金,0.869565217,1.15,1.15
2012,元大金,1.020408163,0.98,0.98
2012,兆豐金,0.819672131,1.22,1.22
2012,台新金,1.234567901,0.81,0.81
2012,中信金,0.917431193,1.09,1.09
2012,第一金,0.925925926,1.08,1.08
2012,統一超,0.131752306,7.59,7.59
2012,大立光,0.19379845,5.16,5.16
2012,聯詠,0.318471338,3.14,3.14
2012,欣興,0.952380952,1.05,1.05
2012,台灣大,0.126262626,7.92,7.92
2012,遠傳,0.292397661,3.42,3.42
2012,中租-KY,0.283286119,3.53,3.53
2012,合庫金,1.098901099,0.91,0.91
2012,台塑化,0.248138958,4.03,4.03
2012,南電,1.408450704,0.71,0.71
2012,豐泰,0.462962963,2.16,2.16
2013,台泥,0.625,1.6,1.6
2013,統一,0.3003003,3.33,3.33
2013,台塑,0.490196078,2.04,2.04
2013,南亞,0.492610837,2.03,2.03
2013,台化,0.523560209,1.91,1.91
2013,亞德客-KY,0.155279503,6.44,6.44
2013,中鋼,0.684931507,1.46,1.46
2013,和泰車,0.154798762,6.46,6.46
2013,聯電,1.315789474,0.76,0.76
2013,台達電,0.206185567,4.85,4.85
2013,鴻海,0.680272109,1.47,1.47
2013,國巨,1.724137931,0.58,0.58
2013,台積電,0.294117647,3.4,3.4
2013,華碩,0.641025641,1.56,1.56
2013,瑞昱,0.460829493,2.17,2.17
2013,廣達,0.440528634,2.27,2.27
2013,研華,0.151745068,6.59,6.59
2013,南亞科,0.060753341,16.46,16.46
2013,友達,1.785714286,0.56,0.56
2013,中華電,0.485436893,2.06,2.06
2013,聯發科,0.309597523,3.23,3.23
2013,長榮,0.884955752,1.13,1.13
2013,陽明,0.793650794,1.26,1.26
2013,萬海,0.862068966,1.16,1.16
2013,彰銀,0.775193798,1.29,1.29
2013,華南金,0.840336134,1.19,1.19
2013,富邦金,0.675675676,1.48,1.48
2013,國泰金,0.438596491,2.28,2.28
2013,開發金,1.162790698,0.86,0.86
2013,玉山金,0.735294118,1.36,1.36
2013,元大金,0.884955752,1.13,1.13
2013,兆豐金,0.689655172,1.45,1.45
2013,台新金,0.980392157,1.02,1.02
2013,中信金,0.628930818,1.59,1.59
2013,第一金,0.862068966,1.16,1.16
2013,統一超,0.104275287,9.59,9.59
2013,大立光,0.165562914,6.04,6.04
2013,聯詠,0.315457413,3.17,3.17
2013,欣興,1.298701299,0.77,0.77
2013,台灣大,0.163666121,6.11,6.11
2013,遠傳,0.328947368,3.04,3.04
2013,中租-KY,0.340136054,2.94,2.94
2013,合庫金,1.030927835,0.97,0.97
2013,矽力*-KY,0.100603622,9.94,9.94
2013,台塑化,0.299401198,3.34,3.34
2013,南電,1.408450704,0.71,0.71
2013,豐泰,0.230414747,4.34,4.34
2014,台泥,0.694444444,1.44,1.44
2014,統一,0.320512821,3.12,3.12
2014,台塑,0.595238095,1.68,1.68
2014,南亞,0.591715976,1.69,1.69
2014,台化,0.694444444,1.44,1.44
2014,亞德客-KY,0.189753321,5.27,5.27
2014,中鋼,0.714285714,1.4,1.4
2014,和泰車,0.128700129,7.77,7.77
2014,聯電,1.136363636,0.88,0.88
2014,台達電,0.20746888,4.82,4.82
