,name,book_to_market,,Date
,台灣大,4.79,,2013
,遠傳,1.8,,2013
,台塑化,3.37,,2013
,南電,2.54,,2013
,豐泰,1.89,,2013
,台泥,1.12,,2013
,統一,2.07,,2013
,台塑,1.74,,2013
,南亞,1.56,,2013
,台化,1.72,,2013
,中鋼,1.54,,2013
,和泰車,1.85,,2013
,聯電,0.9,,2013
,台達電,3.19,,2013
,鴻海,2.14,,2013
,國巨,0.94,,2013
,台積電,2.97,,2014
,華碩,0.86,,2014
,瑞昱,1.91,,2014
,廣達,2,,2014
,研華,2.59,,2014
,南亞科,2.4,,2014
,友達,0.95,,2014
,中華電,1.6,,2014
,聯發科,4.12,,2014
,長榮,1.17,,2014
,陽明,1.35,,2014
,萬海,1.61,,2014
,彰銀,1.11,,2014
,華南金,1.23,,2014
,富邦金,1.4,,2014
,國泰金,2.28,,2014
,開發金,0.74,,2014
,玉山金,0.91,,2014
,元大金,1.2,,2014
,兆豐金,0.96,,2014
,台新金,0.69,,2014
,中信金,1.08,,2014
,第一金,1.11,,2014
,統一超,4.87,,2014
,大立光,4.79,,2014
,聯詠,2.39,,2014
,欣興,1.78,,2014
,台灣大,4.48,,2014
,遠傳,1.75,,2014
,台塑化,3.03,,2014
,南電,2.32,,2014
,豐泰,1.74,,2014
,台泥,1.22,,2014
,統一,2.21,,2014
,台塑,1.71,,2014
,南亞,1.7,,2014
,台化,1.61,,2014
,中鋼,1.62,,2014
,和泰車,1.9,,2014
,聯電,0.89,,2014
,台達電,3.4,,2014
,鴻海,2.43,,2014
,國巨,1.02,,2014
,台積電,3.06,,2014
,華碩,0.87,,2014
,瑞昱,1.96,,2014
,廣達,1.99,,2014
,研華,2.7,,2015
,南亞科,2.06,,2015
,友達,1,,2015
,中華電,1.7,,2015
,聯發科,3.98,,2015
,長榮,1.36,,2015
,陽明,1.7,,2015
,萬海,1.75,,2015
,彰銀,1.27,,2015
,華南金,1.33,,2015
,富邦金,1.53,,2015
,國泰金,2.39,,2015
,開發金,0.78,,2015
,玉山金,1.03,,2015
,元大金,1.24,,2015
,兆豐金,1.07,,2015
,台新金,0.79,,2015
,中信金,1.17,,2015
,第一金,1.17,,2015
,統一超,5.37,,2015
,大立光,5.69,,2015
,聯詠,2.32,,2015
,欣興,2,,2015
,台灣大,4.31,,2015
,遠傳,1.97,,2015
,台塑化,2.89,,2015
,南電,2.31,,2015
,豐泰,1.77,,2015
,台泥,1.2,,2015
,統一,2.37,,2015
,台塑,1.81,,2015
,南亞,1.86,,2015
,台化,1.65,,2015
,中鋼,1.62,,2015
,和泰車,2.09,,2015
,聯電,0.81,,2015
,台達電,3.74,,2015
,鴻海,2.39,,2015
,國巨,0.9,,2015
,台積電,2.89,,2015
,華碩,0.77,,2015
,瑞昱,1.73,,2015
,廣達,1.67,,2015
,研華,2.85,,2015
,南亞科,1.74,,2015
,友達,0.91,,2015
,中華電,1.64,,2015
,聯發科,4.01,,2016
,長榮,1.21,,2016
,陽明,1.56,,2016
,萬海,1.66,,2016
,彰銀,1.36,,2016
,華南金,1.32,,2016
,富邦金,1.53,,2016
,國泰金,2.3,,2016
,開發金,0.75,,2016
,玉山金,1.03,,2016
,元大金,1.26,,2016
,兆豐金,1.08,,2016
,台新金,0.81,,2016
,中信金,1.16,,2016
,第一金,1.18,,2016
,統一超,6.06,,2016
,大立光,5.37,,2016
,聯詠,2.1,,2016
,欣興,1.9,,2016
,台灣大,4.3,,2016
,遠傳,1.83,,2016
,台塑化,2.79,,2016
,南電,1.8,,2016
,豐泰,1.79,,2016
,台泥,1.37,,2016
,統一,2.6,,2016
,台塑,1.96,,2016
,南亞,2.06,,2016
,台化,1.75,,2016
,中鋼,1.72,,2016
,和泰車,2.12,,2016
,聯電,0.87,,2016
,台達電,4.02,,2016
,鴻海,2.49,,2016
,國巨,0.96,,2016
,台積電,3.04,,2016
,華碩,0.79,,2016
,瑞昱,1.97,,2016
,廣達,1.74,,2016
,研華,3.22,,2016
,南亞科,2.01,,2016
,友達,1.07,,2016
,中華電,1.75,,2016
,聯發科,4.03,,2016
,長榮,1.27,,2016
,陽明,1.64,,2016
,萬海,1.76,,2016
,彰銀,1.57,,2017
,華南金,1.42,,2017
,富邦金,1.57,,2017
,國泰金,2.38,,2017
,開發金,0.78,,2017
,玉山金,1.17,,2017
,元大金,1.32,,2017
,兆豐金,1.17,,2017
,台新金,0.86,,2017
,中信金,1.28,,2017
,第一金,1.32,,2017
,統一超,6.88,,2017
,大立光,5.53,,2017
,聯詠,2.43,,2017
,欣興,2.06,,2017
,台灣大,4.4,,2017
,遠傳,1.93,,2017
,台塑化,3.13,,2017
,南電,2.11,,2017
,豐泰,1.95,,2017
,台泥,1.42,,2017
,統一,2.57,,2017
,台塑,2.49,,2017
,南亞,2.09,,2017
,台化,2.24,,2017
,中鋼,1.66,,2017
,和泰車,2.18,,2017
,聯電,0.92,,2017
,台達電,4.12,,2017
,鴻海,2.44,,2017
,國巨,0.93,,2017
,台積電,3.3,,2017
,華碩,1.54,,2017
,瑞昱,2.11,,2017
,廣達,2.11,,2017
,研華,3.67,,2017
,南亞科,1.8,,2017
,友達,0.96,,2017
,中華電,1.93,,2017
,聯發科,4.05,,2017
,長榮,1.34,,2017
,陽明,1.77,,2017
,萬海,1.7,,2017
,彰銀,1.54,,2017
,華南金,1.41,,2017
,富邦金,1.63,,2017
,國泰金,2.47,,2017
,開發金,0.82,,2018
,玉山金,1.14,,2018
,元大金,1.41,,2018
,兆豐金,1.24,,2018
,台新金,0.83,,2018
,中信金,1.28,,2018
,第一金,1.31,,2018
,統一超,7.13,,2018
,大立光,5.77,,2018
,聯詠,2.66,,2018
,欣興,1.94,,2018
,台灣大,5.88,,2018
,遠傳,2.15,,2018
,台塑化,3.67,,2018
,南電,2.37,,2018
,豐泰,2.05,,2018
,台泥,1.53,,2018
,統一,2.72,,2018
,台塑,2.57,,2018
,南亞,2.08,,2018
,台化,2.3,,2018
,中鋼,1.68,,2018
,和泰車,2.17,,2018
,聯電,0.95,,2018
,台達電,4.42,,2018
,鴻海,2.28,,2018
,國巨,0.95,,2018
,台積電,3.33,,2018
,華碩,1.64,,2018
,瑞昱,2.07,,2018
